Quarter,current_inflation,policy_rate,gdp_growth,unemployment,rupiah_exchange_rate,economic_outlook,inflation_target,global_factors,media_narrative
2018Q1,3.4,4.25,5.07,5.1,13750,"Solid growth, inflation manageable",3.5,"Stable global commodity prices, calm trade","Economic growth remained steady. The rupiah was stable. Global oil and coal prices held firm. Domestic commodity prices were rising, led by rice and energy."
2018Q2,3.12,4.75,5.27,5.1,14300,"Strong growth, monetary tightening begins",3.5,"Rising oil prices, tightening global liquidity","The economy grew solidly. The rupiah weakened slightly. Global oil prices increased. Domestic prices were up, with beef and fuel contributing."
2018Q3,2.88,5.5,5.17,5.3,14800,"Growth steady, inflation low",3.5,"Emerging market stress, oil volatility","Economic growth stayed strong. The rupiah weakened. Global oil was volatile. Domestic prices were flat, with chilis easing slightly."
2018Q4,3.13,6,5.18,5.3,14600,"Stable growth, inflation near target",3.5,"Oil price decline, global uncertainty","Growth was consistent. The rupiah strengthened. Global oil declined. Domestic prices were stable, with rice and chicken staying level."
2019Q1,2.53,6,5.06,4.98,14152,"Steady growth, low inflation",3.5,"Stable commodity prices, calm trade","Steady economic performance. The rupiah was stable. Global commodities remained flat. Domestic prices rose modestly, especially for energy."
2019Q2,2.85,6,5.05,4.98,14137,"Stable growth, controlled inflation",3.5,"Stable oil and mineral prices, easing global trade risks","Growth remained healthy. The rupiah was steady. Global commodity prices were stable. Overall prices in Indonesia were rising, led by chilis and beef."
2019Q3,3.12,5.5,5.01,5.23,14100,"Slower growth, inflation near upper bound",3.5,"Slight oil price drop, global demand cooling","Economic activity slowed slightly. The rupiah stayed within range. Global oil prices declined. Domestic prices edged up, especially rice."
2019Q4,2.67,5,4.96,5.23,14150,"Moderate growth, easing inflation",3.5,"Global demand weakening, commodity prices falling","The economy maintained moderate growth. The rupiah strengthened. Global prices dropped. Domestic commodity prices declined, including shallots and energy."
2020Q1,2.96,4.5,2.97,4.94,14400,Mild slowdown; pandemic risks growing,3,"COVID‑19 shock, weak oil prices","Growth slowed as COVID concerns rose. The rupiah weakened. Global oil collapsed. Domestic prices rose, driven by rice and beef."
2020Q2,1.96,4.25,-5.32,4.94,15200,Sharp recession; high uncertainty,3,"Global recession, oil crash","A sharp economic contraction occurred. The rupiah weakened further. Oil hit record lows. Domestic prices were mixed but mostly up, especially for eggs."
2020Q3,1.42,4,-3.49,7.07,14800,Recovery cautious; bottoming trend,3,"Global recovery slow, trade restarting","Recovery signs appeared. The rupiah recovered somewhat. Oil stabilized. Domestic prices remained high, led by chicken."
2020Q4,1.68,3.75,-2.17,7.07,14300,Early rebound; policy supportive,3,"Vaccine hopes, stable commodity prices","Economic rebound gained momentum. The rupiah strengthened. Global commodities stabilized. Domestic prices fell slightly, including rice and shallots."
2021Q1,1.37,3.5,-0.69,6.26,14200,"Early recovery, pandemic drag",3,"Global COVID resurgence, supply disruptions","Early recovery continued. The rupiah weakened slightly. Global commodity prices rose. Domestic prices were stable overall, with energy staying low."
2021Q2,1.33,3.5,7.08,6.26,14408,Strong rebound backed by exports,3,"Global demand surge, commodity boom","Strong rebound was underway. The rupiah weakened. Global oil and metals surged. Domestic prices climbed, led by eggs and chilis."
2021Q3,1.6,3.5,3.53,6.49,14443,"Recovery slowing, Delta wave cautious",3,COVID risks; commodity volatility,"Recovery slowed with Delta variant. The rupiah was flat. Oil remained high. Prices rose across the board, including chicken."
2021Q4,1.87,3.5,5.03,6.49,14334,Solid recovery; stable policy,3,"COVID Omicron strain uncertainty, commodity tight","Economic growth was stable. The rupiah strengthened. Global prices steadied. Domestic prices rose slightly, especially rice."
2022Q1,2.64,3.5,5.02,5.83,14200,"Recovery slowing, inflation rising",3,Rising global commodity prices,"Growth held up. The rupiah weakened. Global oil and coal spiked. Domestic prices climbed, with beef and energy leading."
2022Q2,4.35,3.5,5.46,5.83,14300,"Moderate growth, inflation elevated",3,"Commodity inflation, supply-chain issues","Moderate growth continued. The rupiah strengthened. Global supply issues pushed prices up. Domestic inflation remained high, especially for chilis."
2022Q3,5.95,4.25,5.73,5.86,14600,"Tightening cycle, inflation peak",3,"High commodity stress, Fed hikes","Economic growth held firm. The rupiah weakened. Global fertilizer and oil remained high. Domestic prices stayed elevated, led by rice."
2022Q4,5.51,5.5,5.01,5.86,15100,"Cooling inflation, stable growth",3,"Easing commodity prices, cautious global outlook","Stable economic conditions. The rupiah was steady. Global prices eased. Domestic prices declined, especially in fuel and shallots."
2023Q1,4.97,5.75,5.04,5.45,15400,"Slowdown, inflation persist",3,"High global interest rates, softening commodity prices",Growth began to slow. The rupiah strengthened. Global metals and oil declined. Domestic prices were mostly stable.
2023Q2,3.52,5.75,5.17,5.45,15300,"Growth subdued, inflation cooling",3.5,"Commodity stabilization, US monetary pause","Economic pace was subdued. The rupiah weakened slightly. Global prices stayed flat. Food and energy prices declined, including beef."
2023Q3,2.28,5.75,4.94,5.32,15500,"Modest rebound, inflation under control",3.5,"Soft commodity markets, global trade recovery","Growth picked up modestly. The rupiah strengthened. Global commodity markets softened. Domestic prices were steady, with chilis down."
2023Q4,2.61,6,5.04,5.32,15600,"Stable outlook, contained inflation",3.5,"Calmer commodities, mild global growth",Economic growth was stable. The rupiah held steady. Global markets stayed calm. Domestic prices were flat overall.
2024Q1,3.05,6,5.11,4.82,15600,"Strong growth, inflation normalizing",2.5,"Geopolitical tensions, oil supply risk","Growth was strong. The rupiah weakened. Global oil prices climbed. Domestic inflation rose, driven by chicken and fuel."
2024Q2,2.51,6.25,5.05,5.15,16200,"Balanced growth, slight inflation rise",2.5,"Oil volatility, supply chain pressure","Economic performance was balanced. The rupiah strengthened slightly. Global commodity prices were volatile. Domestic prices increased modestly, especially rice."
2024Q3,1.84,6.25,4.95,4.91,15700,"Growth steady, inflation low",2.5,"Cooling commodity prices, cautious global economy","Economic growth was steady. The rupiah was stable. Global prices cooled. Domestic inflation fell slightly, with beef prices easing."
2024Q4,1.57,6,5.02,4.91,15800,"Moderate growth, record-low inflation",2.5,"Weak global demand, soft commodity prices","Moderate growth continued. The rupiah weakened. Global oil declined. Domestic prices dropped, including energy."
2025Q1,1.03,5.75,4.87,4.76,16300,"Slowing growth, easing rate",2.5,"Global uncertainty, weak trade","Growth softened. The rupiah weakened. Global oil stayed low. Domestic prices increased, led by rice and chilis."
2025Q2,1.87,5.5,4.8,4.76,16500,"Inflation low, room to cut rates",2.5,"Geopolitical risks, global recovery weak",Economic pace remained low. The rupiah weakened further. Global prices were stable. Domestic prices were steady overall.
