quarter,current_inflation,policy_rate,gdp_growth,unemployment,rupiah_exchange_rate,economic_outlook,inflation_target,global_factors,media_narrative
2018Q1,3.4,4.25,5.07,5.1,13750,"Solid growth, inflation manageable",3.5,"Stable global commodity prices, calm trade","Economic growth was steady. The rupiah was stable. Global oil and metals firmed, before late-quarter volatility. Domestic commodity prices were broadly stable. General prices were stable."
2018Q2,3.12,4.75,5.27,5.1,14300,"Strong growth, monetary tightening begins",3.5,"Rising oil prices, tightening global liquidity","Economic growth picked up. The rupiah weakened. Global oil and metals firmed, before late-quarter volatility. Domestic commodity prices were broadly stable. General price pressures eased."
2018Q3,2.88,5.5,5.17,5.3,14800,"Growth steady, inflation low",3.5,"Emerging market stress, oil volatility","Economic growth was steady. The rupiah weakened. Global oil and metals firmed, before late-quarter volatility. Domestic commodity prices were broadly stable. General price pressures eased."
2018Q4,3.13,6,5.18,5.3,14600,"Stable growth, inflation near target",3.5,"Oil price decline, global uncertainty",Economic growth was steady. The rupiah strengthened. Global oil and metals fell into year-end weakness. Domestic commodity prices were broadly stable. General prices were up.
2019Q1,2.53,6,5.06,4.98,14152,"Steady growth, low inflation",3.5,"Stable commodity prices, calm trade",Economic growth was steady. The rupiah strengthened. Global commodity prices were broadly stable. Domestic commodity prices were broadly stable. General price pressures eased.  A weak El Niño brought drier conditions for some regions.
2019Q2,2.85,6,5.05,4.98,14137,"Stable growth, controlled inflation",3.5,"Stable oil and mineral prices, easing global trade risks",Economic growth was steady. The rupiah was stable. Global commodity prices were broadly stable. Domestic commodity prices were broadly stable. General prices were up.  A weak El Niño brought drier conditions for some regions.
2019Q3,3.12,5.5,5.01,5.23,14100,"Slower growth, inflation near upper bound",3.5,"Slight oil price drop, global demand cooling",Economic growth was steady. The rupiah was stable. Global commodity prices were broadly stable. Domestic commodity prices were broadly stable. General prices were up.
2019Q4,2.67,5,4.96,5.23,14150,"Moderate growth, easing inflation",3.5,"Global demand weakening, commodity prices falling",Economic growth was steady. The rupiah weakened. Global commodity prices were broadly stable. Domestic commodity prices were broadly stable. General price pressures eased.
2020Q1,2.96,4.5,2.97,4.94,14400,Mild slowdown; pandemic risks growing,3,"COVID‑19 shock, weak oil prices","Economic growth cooled. The rupiah weakened. Global commodity prices slumped with the pandemic, led by oil. Domestic commodity prices were broadly stable. General prices were up."
2020Q2,1.96,4.25,-5.32,4.94,15200,Sharp recession; high uncertainty,3,"Global recession, oil crash","Economic growth contracted. The rupiah weakened. Global commodity prices slumped with the pandemic, led by oil. Domestic energy costs eased alongside global oil. General price pressures eased.  La Niña brought heavier rains affecting volatile foods."
2020Q3,1.42,4,-3.49,7.07,14800,Recovery cautious; bottoming trend,3,"Global recovery slow, trade restarting",Economic recession asserted. The rupiah strengthened. Global commodity prices rebounded from mid-year lows. Domestic commodity prices were broadly stable. General price pressures eased.  La Niña brought heavier rains affecting volatile foods.
2020Q4,1.68,3.75,-2.17,7.07,14300,Early rebound; policy supportive,3,"Vaccine hopes, stable commodity prices",Economic recession continued. The rupiah strengthened. Global commodity prices rebounded from mid-year lows. Domestic commodity prices were broadly stable. General prices were up.  La Niña brought heavier rains affecting volatile foods.
2021Q1,1.37,3.5,-0.69,6.26,14200,"Early recovery, pandemic drag",3,"Global COVID resurgence, supply disruptions",Economic recession continued. The rupiah strengthened. Global commodity prices strengthened with reopening demand. Domestic commodity prices were broadly stable. General price pressures eased.  La Niña brought heavier rains affecting volatile foods.
2021Q2,1.33,3.5,7.08,6.26,14408,Strong rebound backed by exports,3,"Global demand surge, commodity boom",Economic growth picked up. The rupiah weakened. Global commodity prices strengthened with reopening demand. Domestic commodity prices were broadly stable. General prices were little changed.  La Niña brought heavier rains affecting volatile foods.
2021Q3,1.6,3.5,3.53,6.49,14443,"Recovery slowing, Delta wave cautious",3,COVID risks; commodity volatility,Economic growth cooled. The rupiah was stable. Global energy and coal prices surged amid power shortages. Domestic commodity prices were broadly stable. General prices were up.  La Niña brought heavier rains affecting volatile foods.
2021Q4,1.87,3.5,5.03,6.49,14334,Solid recovery; stable policy,3,"COVID Omicron strain uncertainty, commodity tight",Economic growth picked up. The rupiah strengthened. Global energy and coal prices surged amid power shortages. Energy coal revenues were strong; domestic food costs faced weather-related volatility. General prices were up.  La Niña brought heavier rains affecting volatile foods.
2022Q1,2.64,3.5,5.02,5.83,14200,"Recovery slowing, inflation rising",3,Rising global commodity prices,Economic growth was steady. The rupiah strengthened. Global energy and food prices spiked after the Ukraine war. Domestic commodity prices were broadly stable. General prices were up.
2022Q2,4.35,3.5,5.46,5.83,14300,"Moderate growth, inflation elevated",3,"Commodity inflation, supply-chain issues",Economic growth picked up. The rupiah weakened. Global energy and food prices spiked after the Ukraine war. Domestic edible oil prices were volatile amid palm-oil policy changes. General prices were up.  Palm-oil export ban disrupted cooking-oil supply chains.
2022Q3,5.95,4.25,5.73,5.86,14600,"Tightening cycle, inflation peak",3,"High commodity stress, Fed hikes",Economic growth picked up. The rupiah weakened. Commodity prices stayed elevated but began to ease in some markets. Energy prices rose after subsidized fuel (BBM) adjustments. General prices were up.  Subsidized fuel (BBM) prices were raised.
