persona_id,treatment_group,pre_expectation,post_expectation,expectation_change,persona_age,persona_gender,persona_education,persona_income,persona_region,persona_province,persona_urban_rural,persona_financial_literacy,persona_media_exposure,persona_risk_attitude,persona_expenditure_bracket,persona_expenditure
P17509238361124,media_narrative_negative,5.0,4.0,-1.0,36,Male,Senior High School,7178165.922600566,Java,East Java,Urban,5,6,5,3.1-4 Juta,3493005.7870505885
P17509238366676,policy_rate_decision,6.0,4.0,-2.0,49,Female,Senior High School,2648041.3155847834,Java,West Java,Rural,5,3,6,1-2 Juta,1904559.93100718
P17509238368337,media_narrative_negative,5.0,4.0,-1.0,67,Female,Senior High School,9545314.668475956,Java,West Java,Urban,4,5,9,6.1-7 Juta,6324249.46739175
P17509238366753,media_narrative_positive,5.0,3.8,-1.2000000000000002,44,Female,Senior High School,11882592.609065704,Java,Jakarta,Urban,5,6,8,> 8 Juta,12808004.105583701
P17509238365670,control,5.0,5.0,0.0,39,Female,Diploma,8261915.136507634,Java,Banten,Rural,5,4,7,6.1-7 Juta,6455896.371927672
P17509238362449,full_policy_context,4.2,4.0,-0.20000000000000018,27,Female,Bachelor's Degree,15407052.203282304,Java,Central Java,Urban,8,8,6,5.1-6 Juta,5809836.144120219
P17509238369839,media_narrative_negative,5.0,4.0,-1.0,51,Female,Senior High School,7164596.7693454325,Java,West Java,Urban,4,5,6,4.1-5 Juta,4524721.984516538
P17509238367986,policy_rate_decision,5.0,4.5,-0.5,23,Male,Senior High School,11673234.343680225,Java,Jakarta,Urban,4,5,6,6.1-7 Juta,6600894.882789493
P17509238361891,current_inflation_target,4.0,4.0,0.0,29,Male,Bachelor's Degree,7807387.959439731,Sumatra,Aceh,Rural,8,5,8,4.1-5 Juta,4374148.629567249
P17509238369556,full_policy_context,5.0,4.0,-1.0,32,Female,Master's Degree,3271833.633884752,Java,Central Java,Rural,8,5,3,1-2 Juta,1365192.1627561736
P17509238364902,full_policy_context,6.0,4.0,-2.0,42,Female,Senior High School,2387414.396262535,Java,East Java,Rural,5,3,1,2.1-3 Juta,2745713.226826654
P17509238368813,media_narrative_positive,5.0,4.0,-1.0,23,Female,Diploma,11233244.112006474,Sumatra,Aceh,Rural,5,5,6,6.1-7 Juta,6438805.180477366
P17509238369571,media_narrative_negative,4.0,4.0,0.0,30,Male,Bachelor's Degree,8649051.574026752,Java,Jakarta,Urban,6,7,7,3.1-4 Juta,3571693.844934905
P17509238364515,media_narrative_negative,5.0,4.0,-1.0,47,Female,Senior High School,4532776.564989269,Sulampua,Central Sulawesi,Urban,5,6,6,3.1-4 Juta,3381824.5995307937
P17509238366364,control,5.0,5.5,0.5,45,Male,Senior High School,4893197.971446788,Sumatra,North Sumatra,Rural,4,3,6,3.1-4 Juta,3269594.7788545047
P17509238364651,media_narrative_negative,5.0,4.0,-1.0,27,Female,Senior High School,4863992.007346225,Java,Banten,Urban,5,5,5,3.1-4 Juta,3667201.6679539923
P17509238366327,full_policy_context,5.0,4.0,-1.0,42,Female,Diploma,9623134.102733858,Java,Banten,Urban,6,6,6,4.1-5 Juta,4995890.02157721
P17509238363165,full_policy_context,5.0,4.0,-1.0,30,Female,Senior High School,2713905.8345173337,Kalimantan,West Kalimantan,Urban,5,6,4,1-2 Juta,1640904.0754772606
P17509238366071,policy_rate_decision,5.0,5.0,0.0,25,Male,Senior High School,3236430.3724575727,Java,Jakarta,Urban,4,6,6,1-2 Juta,1676047.6638896256
P17509238364964,full_policy_context,5.0,4.0,-1.0,40,Female,Bachelor's Degree,2806427.0354955597,Sumatra,Bengkulu,Rural,6,6,4,1-2 Juta,1996759.1769395596
P17509238366642,full_policy_context,5.0,4.0,-1.0,30,Female,Senior High School,19606874.644562006,Sulampua,West Sulawesi,Urban,4,6,6,> 8 Juta,13890314.093315398
P17509238363811,current_inflation_target,5.0,4.0,-1.0,44,Female,Diploma,9777890.984567963,Java,Banten,Rural,5,4,6,6.1-7 Juta,6307084.229539906
P17509238366177,policy_rate_decision,5.0,4.0,-1.0,39,Male,Bachelor's Degree,4135033.479781622,Java,Yogyakarta,Rural,6,6,5,2.1-3 Juta,2213910.702322572
P17509238367964,policy_rate_decision,4.0,4.0,0.0,57,Male,Master's Degree,13785465.32979747,Java,Central Java,Urban,8,8,6,4.1-5 Juta,4103335.110359286
P17509238368485,media_narrative_negative,5.0,4.0,-1.0,29,Male,Senior High School,3947634.8653343604,Sulampua,Gorontalo,Rural,4,4,3,2.1-3 Juta,2738357.620434405
P17509238363974,media_narrative_positive,6.0,4.0,-2.0,57,Male,Senior High School,1861268.12790893,Sumatra,North Sumatra,Urban,5,5,8,1-2 Juta,1312066.9417872094
P17509238369529,control,4.0,4.0,0.0,37,Female,Bachelor's Degree,7031270.970892298,Sumatra,South Sumatra,Rural,7,5,7,4.1-5 Juta,4490968.738550139
P17509238369701,media_narrative_negative,5.0,4.0,-1.0,42,Female,Senior High School,8626241.753853178,Java,West Java,Rural,5,4,4,7.1-8 Juta,7773143.361221958
P17509238369254,media_narrative_negative,5.0,4.0,-1.0,39,Male,Senior High School,4449843.4380549695,Kalimantan,North Kalimantan,Urban,6,5,3,2.1-3 Juta,2232140.0637643607
P17509238362492,control,4.0,4.0,0.0,59,Male,Bachelor's Degree,6498533.352103469,Java,East Java,Rural,7,6,7,3.1-4 Juta,3898527.4590679063
P17509238364435,media_narrative_negative,5.0,4.0,-1.0,44,Female,Bachelor's Degree,4094529.526241052,Kalimantan,West Kalimantan,Urban,7,7,7,1-2 Juta,1078728.0398048724
P17509238366753,current_inflation_target,4.0,3.8,-0.20000000000000018,29,Female,Bachelor's Degree,6657254.894439043,Java,Central Java,Rural,7,6,3,3.1-4 Juta,3647392.129258444
P17509238365286,policy_rate_decision,6.0,6.0,0.0,24,Female,Senior High School,1511425.3055893765,Kalimantan,West Kalimantan,Rural,4,3,8,1-2 Juta,1108843.548718367
P17509238368438,control,5.0,5.0,0.0,45,Male,Senior High School,8399288.620158577,Sumatra,Bengkulu,Urban,5,5,5,6.1-7 Juta,6963522.687043313
P17509238361832,media_narrative_positive,5.0,4.0,-1.0,54,Male,Senior High School,4444302.053926736,Java,West Java,Urban,4,6,6,2.1-3 Juta,2170612.0788374864
P17509238363124,control,5.0,5.0,0.0,70,Male,Senior High School,2326517.5988355367,Sumatra,Jambi,Rural,4,4,5,1-2 Juta,1779775.5109297514
P17509238367878,current_inflation_target,5.0,4.0,-1.0,37,Male,Senior High School,4032257.007309962,Java,East Java,Urban,5,5,6,2.1-3 Juta,2977209.7141126674
P17509238368525,full_policy_context,5.0,4.0,-1.0,50,Female,Bachelor's Degree,2514367.29071207,Sumatra,Lampung,Rural,6,5,4,1-2 Juta,1093184.6710860096
P17509238369743,media_narrative_positive,5.0,4.0,-1.0,22,Female,Senior High School,10841428.153362656,Sulampua,Papua,Urban,6,5,7,7.1-8 Juta,7932140.173688134
P17509238361541,current_inflation_target,4.0,4.0,0.0,50,Male,Bachelor's Degree,14348615.085048731,Java,Jakarta,Urban,7,8,6,6.1-7 Juta,6836983.976030011
P17509238364544,control,6.0,5.0,-1.0,47,Male,Senior High School,3237532.669807215,Java,Banten,Rural,5,4,3,3.1-4 Juta,3810385.7997029535
P17509238361122,full_policy_context,5.0,4.0,-1.0,38,Female,Senior High School,2977202.0764008323,Java,Banten,Urban,5,5,6,1-2 Juta,1357673.112289535
P17509238369756,current_inflation_target,6.0,4.0,-2.0,36,Female,Senior High School,3736208.906957727,Sumatra,North Sumatra,Rural,4,3,5,2.1-3 Juta,2689840.394812721
P17509238369192,policy_rate_decision,5.0,4.5,-0.5,37,Female,Diploma,6542422.27274084,Sumatra,Lampung,Rural,6,4,4,5.1-6 Juta,5374563.307308006
P17509238368403,media_narrative_positive,5.0,4.0,-1.0,47,Female,Senior High School,4864557.634826167,Java,Jakarta,Urban,5,5,3,3.1-4 Juta,3166861.7621548725
P17509238363888,media_narrative_negative,4.0,4.0,0.0,59,Female,Senior High School,7849612.586725505,Sumatra,North Sumatra,Urban,5,5,5,5.1-6 Juta,5564686.78182312
P17509238364674,media_narrative_positive,5.0,4.0,-1.0,57,Male,Diploma,6922792.874939364,Sulampua,West Sulawesi,Urban,6,6,6,3.1-4 Juta,3976905.1315885102
P17509238366996,full_policy_context,4.0,3.8,-0.20000000000000018,46,Male,Bachelor's Degree,8192636.512895763,Kalimantan,Central Kalimantan,Urban,7,7,5,4.1-5 Juta,4963114.73153632
P17509238364043,media_narrative_negative,5.0,4.0,-1.0,54,Female,Senior High School,3524340.31933681,Java,West Java,Urban,5,5,4,2.1-3 Juta,2959155.7769729686
P17509238369572,media_narrative_negative,4.0,4.0,0.0,42,Female,Bachelor's Degree,12168297.542052358,Sulampua,South Sulawesi,Urban,6,7,7,5.1-6 Juta,5453048.513986567
P17509238361788,media_narrative_positive,5.0,4.0,-1.0,21,Female,Senior High School,8057914.589252371,Bali-Nusa,Bali,Rural,6,3,8,6.1-7 Juta,6472056.300803385
P17509238364657,current_inflation_target,5.0,4.0,-1.0,28,Male,Senior High School,9801202.703106739,Sulampua,Gorontalo,Urban,6,6,7,5.1-6 Juta,5789402.066950323
P17509238367851,control,5.0,5.0,0.0,23,Female,Bachelor's Degree,4897879.606048006,Sulampua,Gorontalo,Urban,6,8,6,1-2 Juta,1260658.6484376674
P17509238362197,media_narrative_negative,4.0,4.0,0.0,51,Female,Bachelor's Degree,6493140.550059215,Java,East Java,Urban,8,8,3,3.1-4 Juta,3759419.3623882066
P17509238367960,full_policy_context,4.0,4.0,0.0,23,Female,Bachelor's Degree,7139913.668635083,Java,Central Java,Urban,6,7,4,3.1-4 Juta,3988900.0255798185
P17509238363478,policy_rate_decision,4.0,3.8,-0.20000000000000018,43,Female,Master's Degree,17064485.158730943,Java,Jakarta,Urban,9,9,2,4.1-5 Juta,4848725.834901707
