persona_id,treatment_group,pre_expectation,post_expectation,expectation_change,persona_quarter,persona_age,persona_gender,persona_education,persona_income,persona_region,persona_province,persona_urban_rural,persona_financial_literacy,persona_media_exposure,persona_risk_attitude,persona_expenditure_bracket,persona_expenditure
P17521354527488,policy_rate_decision,3.8,3.8,0.0,2018Q1,47,Male,Bachelor's Degree,9852730.464362048,Sumatra,South Sumatra,Urban,7,7,9,3.1-4 Juta,3914000.812629584
P17521354524507,media_narrative,5.0,4.0,-1.0,2018Q1,45,Female,Senior High School,12570594.88792596,Sulampua,South Sulawesi,Urban,4,6,5,6.1-7 Juta,6168837.300703389
P17521354524213,policy_rate_decision,5.0,5.0,0.0,2018Q1,30,Male,Senior High School,3070726.0870262003,Sulampua,North Sulawesi,Urban,4,5,3,2.1-3 Juta,2848516.3874385394
P17521354523687,control,4.0,4.0,0.0,2018Q1,69,Female,Senior High School,9842482.498677585,Java,West Java,Urban,4,5,5,5.1-6 Juta,5662973.091599733
P17521354529142,current_inflation_target,4.0,3.5,-0.5,2018Q1,47,Female,Diploma,7832729.1861799285,Java,Yogyakarta,Urban,6,6,5,3.1-4 Juta,3287032.668056183
P17521354521440,current_inflation_target,5.0,3.5,-1.5,2018Q1,50,Male,Senior High School,3591428.2660234226,Kalimantan,South Kalimantan,Urban,5,5,5,1-2 Juta,1265187.0490744808
P17521354527767,policy_rate_decision,4.0,3.5,-0.5,2018Q1,37,Male,Diploma,15341973.393219184,Java,Jakarta,Urban,6,6,6,> 8 Juta,14847234.780464195
P17521354524527,policy_rate_decision,4.0,3.5,-0.5,2018Q1,21,Male,Senior High School,8732885.852816332,Sumatra,Aceh,Urban,5,6,6,4.1-5 Juta,4579570.68149004
P17521354522456,control,5.0,5.0,0.0,2018Q1,37,Female,Senior High School,4286731.568595278,Java,Banten,Urban,4,6,3,3.1-4 Juta,3133005.8300158666
P17521354523054,media_narrative,5.0,4.0,-1.0,2018Q1,31,Female,Senior High School,4429311.598995369,Sumatra,Bengkulu,Rural,5,4,2,4.1-5 Juta,4619176.364038521
P17521354526901,media_narrative,4.0,4.0,0.0,2018Q1,47,Female,Diploma,9297691.159435434,Sulampua,North Maluku,Rural,7,5,2,5.1-6 Juta,5217244.948179911
P17521354527831,control,4.0,4.0,0.0,2018Q1,44,Female,Bachelor's Degree,9775187.803968396,Java,Yogyakarta,Rural,6,6,3,4.1-5 Juta,4920400.059964047
P17521354529737,media_narrative,4.0,3.8,-0.20000000000000018,2018Q1,32,Male,Diploma,8167883.162020933,Java,Jakarta,Urban,6,6,6,4.1-5 Juta,4594125.682512388
P17521354521803,current_inflation_target,5.0,4.0,-1.0,2018Q1,36,Male,Senior High School,3725006.4557567127,Java,Central Java,Rural,6,3,6,2.1-3 Juta,2855613.719294578
P17521354525367,full_policy_context,4.0,3.8,-0.20000000000000018,2018Q1,38,Female,Senior High School,13598871.013264375,Sumatra,Bengkulu,Urban,5,6,4,> 8 Juta,12803291.626971476
P17521354522839,full_policy_context,5.0,4.0,-1.0,2018Q1,38,Female,Senior High School,3260936.855665387,Sulampua,Maluku,Rural,5,3,7,3.1-4 Juta,3819634.1386362053
P17521354522458,control,5.0,5.0,0.0,2018Q1,38,Female,Senior High School,2588222.822579694,Java,East Java,Rural,5,3,5,2.1-3 Juta,2194404.364712543
P17521354528729,full_policy_context,4.0,3.8,-0.20000000000000018,2018Q1,60,Female,Senior High School,22715474.615003146,Java,Jakarta,Urban,6,6,10,> 8 Juta,8392674.853329541
P17521354525759,policy_rate_decision,5.0,5.0,0.0,2018Q1,60,Female,Senior High School,4163885.2432996756,Sulampua,South Sulawesi,Urban,4,5,4,2.1-3 Juta,2881100.054718576
P17521354529053,media_narrative,4.0,4.0,0.0,2018Q1,23,Male,Diploma,5614686.6971508,Java,East Java,Rural,6,4,5,4.1-5 Juta,4254791.7994980905
P17521354522113,control,5.0,5.0,0.0,2018Q1,60,Male,Senior High School,3813813.176211047,Java,Central Java,Rural,4,4,4,2.1-3 Juta,2095709.8598246432
P17521354525442,full_policy_context,5.0,4.0,-1.0,2018Q1,48,Female,Senior High School,8654127.460102163,Sumatra,West Sumatra,Rural,4,3,5,7.1-8 Juta,7531941.4041800685
P17521354525923,policy_rate_decision,4.0,3.5,-0.5,2018Q1,20,Female,Diploma,4453006.544203216,Kalimantan,North Kalimantan,Urban,7,7,1,2.1-3 Juta,2190630.792742758
P17521354529305,control,4.0,4.0,0.0,2018Q1,26,Female,Senior High School,5503475.475591338,Java,Central Java,Urban,4,6,5,3.1-4 Juta,3614512.4282695726
P17521354525758,policy_rate_decision,4.0,3.8,-0.20000000000000018,2018Q1,23,Male,Bachelor's Degree,4840305.577979214,Sulampua,Southeast Sulawesi,Urban,6,7,7,1-2 Juta,1230525.541321283
P17521354521708,full_policy_context,4.0,3.8,-0.20000000000000018,2018Q1,45,Female,Senior High School,5166231.773422273,Java,Banten,Urban,4,6,7,3.1-4 Juta,3258389.968305963
P17521354522806,media_narrative,4.0,4.0,0.0,2018Q1,22,Female,Diploma,5318870.088968111,Java,East Java,Rural,6,5,6,3.1-4 Juta,3511943.9187586987
P17521354521181,control,4.0,4.0,0.0,2018Q1,32,Female,Diploma,12013939.471021134,Java,Jakarta,Urban,6,7,5,6.1-7 Juta,6317493.866785751
P17521354525943,policy_rate_decision,5.0,5.0,0.0,2018Q1,22,Female,Senior High School,2543744.1429938083,Java,East Java,Rural,4,3,4,2.1-3 Juta,2367487.9264556775
P17521354522517,control,4.0,4.0,0.0,2018Q1,41,Male,Senior High School,8138825.365385272,Sumatra,Riau,Urban,6,6,8,4.1-5 Juta,4936949.256604528
P17521354527369,control,4.0,4.0,0.0,2018Q1,24,Female,Senior High School,19411613.828628153,Bali-Nusa,Bali,Urban,5,5,2,> 8 Juta,9657010.036792763
