persona_id,treatment_group,pre_expectation,post_expectation,expectation_change,persona_quarter,persona_age,persona_gender,persona_education,persona_income,persona_region,persona_province,persona_urban_rural,persona_financial_literacy,persona_media_exposure,persona_risk_attitude,persona_expenditure_bracket,persona_expenditure
P17526472072824,current_inflation_target,4.0,2.8,-1.2000000000000002,2025Q1,22,Female,Bachelor's Degree,12558107.464017203,Java,Central Java,Urban,6,7,3,5.1-6 Juta,5437086.106962626
P17526472079279,full_policy_context,4.0,2.0,-2.0,2025Q1,30,Female,Senior High School,10251061.347330322,Sumatra,Bangka Belitung,Urban,6,5,6,5.1-6 Juta,5240395.068302582
P17526472077924,full_policy_context,4.0,2.5,-1.5,2025Q1,36,Male,Senior High School,4993562.601666039,Java,West Java,Urban,4,5,6,3.1-4 Juta,3152275.2509513795
P17526472073045,full_policy_context,5.0,2.5,-2.5,2025Q1,24,Female,Senior High School,4735286.631483578,Sulampua,Maluku,Rural,4,3,7,3.1-4 Juta,3737265.320016441
P17526472075741,policy_rate_decision,5.0,4.0,-1.0,2025Q1,57,Male,Senior High School,3502816.8738515703,Sulampua,Southeast Sulawesi,Urban,4,6,4,2.1-3 Juta,2020584.4942958024
P17526472072169,media_narrative,4.0,2.5,-1.5,2025Q1,44,Male,Senior High School,13414429.84806759,Sumatra,West Sumatra,Rural,6,4,4,> 8 Juta,9365491.117988693
P17526472071916,current_inflation_target,4.0,3.0,-1.0,2025Q1,47,Male,Senior High School,14542554.755018994,Java,Jakarta,Urban,6,5,1,> 8 Juta,10199271.47642081
P17526472078517,control,4.2,4.0,-0.20000000000000018,2025Q1,39,Female,Senior High School,5285989.331140833,Java,West Java,Urban,6,5,7,3.1-4 Juta,3362106.2261782377
P17526472079085,control,4.0,4.2,0.20000000000000018,2025Q1,53,Female,Bachelor's Degree,12304201.504991181,Java,Jakarta,Urban,8,8,4,5.1-6 Juta,5650667.605250142
P17526472071188,media_narrative,4.0,3.0,-1.0,2025Q1,49,Female,Diploma,4055494.332512649,Sumatra,North Sumatra,Urban,5,7,4,2.1-3 Juta,2366361.8432936915
P17526472075315,control,5.0,5.0,0.0,2025Q1,32,Female,Senior High School,4462666.025084014,Sulampua,South Sulawesi,Rural,5,4,4,4.1-5 Juta,4510462.985795332
P17526472079689,control,4.0,4.0,0.0,2025Q1,31,Male,Senior High School,10128331.411998909,Sulampua,West Papua,Rural,4,4,6,> 8 Juta,11648217.62505392
P17526472072290,current_inflation_target,4.0,2.5,-1.5,2025Q1,59,Female,Senior High School,4995169.886820178,Java,East Java,Urban,5,5,5,3.1-4 Juta,3633173.1119758384
